City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.456,-114.3525,55.56,58,100,13.0,overcast clouds
1,Jamestown,US,42.097,-79.2353,74.01,71,75,14.0,broken clouds
2,Tuktoyaktuk,CA,69.4541,-133.0374,43.25,76,100,10.09,overcast clouds
3,Airai,TL,-8.9266,125.4092,59.74,92,99,1.95,overcast clouds
4,Bredasdorp,ZA,-34.5322,20.0403,50.83,87,18,6.29,few clouds
5,Ushuaia,AR,-54.8,-68.3,48.36,50,0,3.15,clear sky
6,Maryville,US,35.7565,-83.9705,85.3,58,72,5.99,broken clouds
7,Vaini,TO,-21.2,-175.2,73.69,78,89,22.39,overcast clouds
8,Port Hardy,CA,50.6996,-127.4199,55.76,76,78,3.11,broken clouds
9,Mataura,NZ,-46.1927,168.8643,46.47,89,100,1.05,overcast clouds
10,Port Macquarie,AU,-31.4333,152.9167,51.89,81,1,5.93,clear sky
11,Fairbanks,US,64.8378,-147.7164,50.81,70,98,4.38,overcast clouds
12,Mitú,CO,1.1983,-70.1733,90.03,52,59,0.96,broken clouds
13,Hobart,AU,-42.8794,147.3294,44.06,87,22,6.91,few clouds
14,Provideniya,RU,64.3833,-173.3,41.18,76,100,4.38,overcast clouds
15,Hilo,US,19.7297,-155.09,79.29,96,80,5.01,broken clouds
16,Sterling,US,39.0062,-77.4286,86.25,52,75,7.0,broken clouds
17,Tautira,PF,-17.7333,-149.15,77.4,75,13,19.95,light rain
18,Maragogi,BR,-9.0122,-35.2225,77.79,69,5,10.27,clear sky
19,Punta Arenas,CL,-53.15,-70.9167,44.11,55,1,1.95,clear sky
20,Kendari,ID,-3.945,122.4989,74.19,95,85,2.01,overcast clouds
21,Rikitea,PF,-23.1203,-134.9692,72.88,77,24,16.89,few clouds
22,Mazagão,BR,-0.115,-51.2894,95.52,36,92,4.29,overcast clouds
23,Ambilobe,MG,-13.2,49.05,69.28,69,0,5.28,clear sky
24,Busselton,AU,-33.65,115.3333,56.41,80,97,12.24,overcast clouds
25,Karratha,AU,-20.7377,116.8463,66.16,37,0,17.4,clear sky
26,Ilulissat,GL,69.2167,-51.1,35.62,93,100,6.91,fog
27,Ust-Nera,RU,64.5667,143.2,34.75,97,100,4.59,overcast clouds
28,Severo-Kuril'sk,RU,50.6789,156.125,54.16,97,100,19.77,light rain
29,Koutsouras,GR,35.0339,25.9469,77.11,61,0,8.48,clear sky
30,Qandala,SO,11.472,49.8728,88.61,58,42,1.23,scattered clouds
31,Tres Picos,MX,15.8667,-93.5333,86.43,70,100,4.38,overcast clouds
32,Gōtsuchō,JP,35.0,132.2167,67.39,64,87,22.21,overcast clouds
33,Vila Franca do Campo,PT,37.7167,-25.4333,77.41,82,23,4.21,few clouds
34,Lerwick,GB,60.1545,-1.1494,48.2,66,8,1.66,clear sky
35,Butaritari,KI,3.0707,172.7902,82.22,66,79,16.44,broken clouds
36,Olafsvik,IS,64.8945,-23.7142,50.49,96,100,10.38,overcast clouds
37,Hermanus,ZA,-34.4187,19.2345,57.79,81,24,2.86,light rain
38,Ust-Maya,RU,60.4167,134.5333,28.85,92,100,9.53,overcast clouds
39,Vilhena,BR,-12.7406,-60.1458,87.87,42,100,4.97,overcast clouds
40,Umm Kaddadah,SD,13.6017,26.6876,93.9,30,79,10.18,broken clouds
41,Esperance,AU,-33.8667,121.9,55.58,64,100,18.77,overcast clouds
42,East London,ZA,-33.0153,27.9116,59.5,89,100,16.64,heavy intensity rain
43,Arrondissement de Figeac,FR,44.75,1.9167,59.38,52,3,4.45,clear sky
44,Nikolskoye,RU,59.7035,30.7861,49.89,92,100,13.67,light rain
45,Kapaa,US,22.0752,-159.319,84.18,71,0,13.8,clear sky
46,Mount Gambier,AU,-37.8333,140.7667,43.95,85,14,7.9,few clouds
47,Baturaja,ID,-4.1333,104.1667,72.07,94,100,1.9,overcast clouds
48,Tura,IN,25.5198,90.2201,74.01,98,94,3.91,light rain
49,Kharan,PK,28.5833,65.4167,85.73,18,0,1.48,clear sky
50,Lebu,CL,-37.6167,-73.65,50.43,60,8,11.36,clear sky
51,Ribeira Grande,PT,38.5167,-28.7,79.2,78,20,8.05,few clouds
52,Tanete,ID,-3.9443,119.7848,73.9,96,56,2.71,light rain
53,Albany,US,42.6001,-73.9662,78.67,76,100,1.01,overcast clouds
54,Avera,US,33.194,-82.5271,87.55,38,0,6.91,clear sky
55,Bengkulu,ID,-3.8004,102.2655,74.88,89,100,3.24,overcast clouds
56,Cape Town,ZA,-33.9258,18.4232,59.34,71,7,3.0,clear sky
57,Makakilo City,US,21.3469,-158.0858,79.99,66,8,17.05,clear sky
58,Nísia Floresta,BR,-6.0911,-35.2086,83.21,59,18,14.16,few clouds
59,Enshi,CN,30.3,109.4833,70.97,73,100,1.77,overcast clouds
60,Nānākuli,US,21.3906,-158.1547,82.35,55,20,10.36,few clouds
61,Hong Kong,HK,22.2855,114.1577,86.38,83,92,8.01,overcast clouds
62,San Patricio,US,28.017,-97.5169,93.15,49,91,10.49,overcast clouds
63,Touros,BR,-5.1989,-35.4608,80.56,65,93,17.85,overcast clouds
64,Opuwo,NA,-18.0607,13.84,65.79,29,0,6.96,clear sky
65,Itaueira,BR,-7.6033,-43.0256,97.65,18,98,8.79,overcast clouds
66,Barrow,US,71.2906,-156.7887,42.82,81,0,9.22,clear sky
67,Kilinochchi,LK,9.3961,80.3982,79.18,80,100,12.66,overcast clouds
68,Matara,LK,5.9485,80.5353,77.95,88,100,10.0,overcast clouds
69,Sørland,NO,67.667,12.6934,48.06,65,100,24.32,overcast clouds
70,Shīeli,KZ,44.1667,66.75,72.54,20,0,11.72,clear sky
71,Camargo,MX,27.6667,-105.1667,84.79,42,58,10.2,broken clouds
72,Cayenne,GF,4.9333,-52.3333,89.64,66,98,9.22,overcast clouds
73,Saint Paul Harbor,US,57.79,-152.4072,58.51,82,75,11.5,broken clouds
74,Kawambwa,ZM,-9.7915,29.0791,71.87,48,23,3.0,few clouds
75,Dondo,MZ,-19.6094,34.7431,76.51,70,0,9.33,clear sky
76,Hofn,IS,64.2539,-15.2082,51.06,97,100,11.27,light rain
77,Rio Grande,BR,-32.035,-52.0986,64.51,81,100,1.99,moderate rain
78,Cidreira,BR,-30.1811,-50.2056,60.51,96,100,6.31,moderate rain
79,Souillac,MU,-20.5167,57.5167,70.11,76,0,12.57,clear sky
80,Chui,UY,-33.6971,-53.4616,64.76,75,100,3.51,overcast clouds
81,Avarua,CK,-21.2078,-159.775,75.25,78,75,4.61,broken clouds
82,Puerto Ayora,EC,-0.7393,-90.3518,78.76,91,92,7.0,overcast clouds
83,Springbok,ZA,-29.6643,17.8865,42.53,73,0,5.44,clear sky
84,Port Alfred,ZA,-33.5906,26.891,56.17,93,100,5.01,moderate rain
85,Batken,KG,39.8333,71.0,55.47,39,0,1.3,clear sky
86,Kavaratti,IN,10.5669,72.642,81.21,77,96,13.8,overcast clouds
87,Portland,US,45.5234,-122.6762,78.04,53,0,8.05,clear sky
88,Hasaki,JP,35.7333,140.8333,81.28,86,72,30.91,broken clouds
89,Tarancón,ES,40.0085,-3.0073,76.12,41,96,4.21,overcast clouds
90,Atar,MR,20.5169,-13.0499,98.51,21,100,1.63,overcast clouds
91,Faya,SA,18.3851,42.4509,66.72,49,95,1.83,overcast clouds
92,Lüderitz,NA,-26.6481,15.1594,55.72,65,0,28.03,clear sky
93,Kununurra,AU,-15.7667,128.7333,76.98,83,21,5.75,few clouds
94,Fenyi,CN,27.8112,114.6681,70.84,59,6,1.39,clear sky
95,Tessalit,ML,20.1986,1.0114,93.31,27,100,10.16,overcast clouds
96,Abnūb,EG,27.2696,31.1511,82.96,30,0,8.66,clear sky
97,Qaanaaq,GL,77.484,-69.3632,25.0,58,24,8.1,few clouds
98,Aasiaat,GL,68.7098,-52.8699,37.69,88,30,5.64,scattered clouds
99,St. George's,GD,12.0564,-61.7485,85.68,79,40,20.71,scattered clouds
100,Brattvåg,NO,62.6002,6.4434,50.29,81,75,6.91,broken clouds
101,Englewood,US,39.6478,-104.9878,90.34,20,20,5.75,few clouds
102,Sosnovo-Ozerskoye,RU,52.5249,111.5418,33.19,72,52,4.92,broken clouds
103,Itaguaí,BR,-22.8522,-43.7753,71.62,57,62,10.6,broken clouds
104,Biak,ID,-0.9131,122.8766,75.69,86,100,4.29,overcast clouds
105,Paramonga,PE,-10.6667,-77.8333,66.74,71,30,10.89,scattered clouds
106,George Town,MY,5.4112,100.3354,81.9,82,20,0.0,few clouds
107,Carnduff,CA,49.1667,-101.8009,81.86,33,5,11.16,clear sky
108,Srednekolymsk,RU,67.45,153.6833,38.66,50,96,6.87,overcast clouds
109,Shirvan,AZ,39.9509,48.8994,75.9,60,0,10.11,clear sky
110,Hailar,CN,49.2,119.7,38.62,34,100,8.37,overcast clouds
111,Thompson,CA,55.7435,-97.8558,66.24,42,9,8.19,clear sky
112,Fukuechō,JP,32.6881,128.8419,73.4,65,88,29.19,overcast clouds
113,Lincoln,US,40.8,-96.667,95.14,54,0,14.97,clear sky
114,Yangi Marg`ilon,UZ,40.4272,71.7189,68.72,45,0,6.91,clear sky
115,Methóni,GR,36.8197,21.7049,69.66,55,1,13.94,clear sky
116,Fagersta,SE,60.0042,15.7932,50.99,86,100,8.05,overcast clouds
117,Lixouri,GR,38.2019,20.4314,69.8,68,20,0.0,few clouds
118,Torbay,CA,47.6666,-52.7314,59.58,64,98,5.99,overcast clouds
119,Augusto Corrêa,BR,-1.0217,-46.635,83.44,66,100,8.63,overcast clouds
120,Nanortalik,GL,60.1432,-45.2371,44.37,91,100,11.61,overcast clouds
121,Khatanga,RU,71.9667,102.5,26.89,90,100,13.47,overcast clouds
122,Hobyo,SO,5.3505,48.5268,76.96,91,100,22.91,overcast clouds
123,Kruisfontein,ZA,-34.0033,24.7314,52.18,79,58,7.85,broken clouds
124,Morón,AR,-34.6534,-58.6198,72.01,53,41,9.01,scattered clouds
125,Atuona,PF,-9.8,-139.0333,75.9,80,13,19.98,light rain
126,Linhares,BR,-19.3911,-40.0722,75.65,52,70,9.8,broken clouds
127,Ostrovnoy,RU,68.0531,39.5131,48.22,96,86,7.18,overcast clouds
128,Tasiilaq,GL,65.6145,-37.6368,41.16,98,100,1.01,overcast clouds
129,New Ulm,US,44.3125,-94.4605,81.43,34,0,14.97,clear sky
130,Tamale,GH,9.4008,-0.8393,72.91,97,100,5.61,light rain
131,Acapulco de Juárez,MX,16.8634,-99.8901,84.02,74,75,5.75,broken clouds
132,Fortuna,US,40.5982,-124.1573,70.09,81,27,4.61,scattered clouds
133,Northampton,US,40.8754,-75.2499,82.18,59,100,4.0,overcast clouds
134,Bolivar,US,37.6145,-93.4105,96.28,42,5,9.66,clear sky
135,Nelson Bay,AU,-32.7167,152.15,57.0,97,19,5.99,few clouds
136,Comodoro Rivadavia,AR,-45.8667,-67.5,39.06,93,100,13.8,light rain
137,Salamiyah,SY,35.0113,37.0532,74.3,69,0,7.81,clear sky
138,Salina Cruz,MX,16.1667,-95.2,88.23,64,84,11.7,broken clouds
139,Chateaubelair,VC,13.2833,-61.25,83.19,69,58,9.4,broken clouds
140,Saint-François,FR,46.4154,3.9054,56.64,54,0,8.05,clear sky
141,Taitung City,TW,22.7583,121.1444,78.24,83,100,8.48,overcast clouds
142,Bluff,NZ,-46.6,168.3333,46.8,86,63,8.66,broken clouds
143,Vung Tau,VN,10.346,107.0843,78.3,84,91,11.99,overcast clouds
144,Tsogni,GA,-2.7942,10.0988,74.77,88,81,7.56,light rain
145,Surab,PK,28.4914,66.2585,71.67,27,0,2.64,clear sky
146,Ponta do Sol,PT,32.6667,-17.1,75.83,84,58,2.57,broken clouds
147,Cap-Haïtien,HT,19.7578,-72.2042,80.96,79,96,15.59,overcast clouds
148,Porto Walter,BR,-8.2686,-72.7439,99.7,27,92,4.18,overcast clouds
149,Baykit,RU,61.67,96.37,44.92,99,100,3.47,light rain
150,Dikson,RU,73.5069,80.5464,34.57,64,96,9.64,overcast clouds
151,Ube,JP,33.9431,131.2511,70.23,62,1,16.64,clear sky
152,Chebarkul',RU,54.9749,60.3633,60.49,71,24,5.28,few clouds
153,Kungurtug,RU,50.5994,97.5228,37.08,71,1,2.3,clear sky
154,Viljoenskroon,ZA,-27.2084,26.9485,60.24,40,41,12.53,scattered clouds
155,Makkah al Mukarramah,SA,21.4267,39.8261,86.07,34,7,6.71,clear sky
156,Myronivka,UA,49.6601,30.9823,53.24,63,100,5.32,overcast clouds
157,Guerrero Negro,MX,27.9769,-114.0611,72.46,68,100,13.47,overcast clouds
158,Alofi,NU,-19.0595,-169.9187,75.09,88,40,8.05,scattered clouds
159,Marzuq,YE,14.4,46.4667,81.27,42,17,6.53,few clouds
160,Amarante do Maranhão,BR,-5.5667,-46.7422,100.38,17,98,7.43,overcast clouds
161,Northam,GB,51.0333,-4.2167,60.62,80,22,7.43,few clouds
162,Shache,CN,38.4167,77.2406,75.7,37,2,5.93,clear sky
163,Nizhneudinsk,RU,54.9076,99.0276,49.93,73,100,4.21,overcast clouds
164,‘Āhuimanu,US,21.4447,-157.8378,82.17,63,20,14.97,few clouds
165,Dunmore East,IE,52.1514,-6.9861,59.68,71,40,2.3,scattered clouds
166,Teahupoo,PF,-17.8333,-149.2667,75.16,75,14,19.93,light rain
167,Salta,AR,-24.7859,-65.4117,73.99,42,75,14.97,broken clouds
168,Rawson,AR,-43.3002,-65.1023,40.66,94,100,30.31,moderate rain
169,Tiznit Province,MA,29.5833,-9.5,69.21,70,0,5.68,clear sky
170,Hamilton,US,39.1834,-84.5333,83.08,69,100,9.22,overcast clouds
171,Saint-Philippe,RE,-21.3585,55.7679,67.59,79,35,11.18,scattered clouds
172,Cabo San Lucas,MX,22.8909,-109.9124,86.61,77,75,18.41,broken clouds
173,Saskylakh,RU,71.9167,114.0833,26.31,90,100,6.58,overcast clouds
174,New Norfolk,AU,-42.7826,147.0587,43.72,88,78,2.39,broken clouds
175,Scarborough,GB,54.2797,-0.4044,50.79,83,5,4.76,clear sky
176,Naze,JP,28.3667,129.4833,76.35,86,54,11.18,broken clouds
177,Cam Ranh,VN,11.9214,109.1591,78.76,89,40,2.3,moderate rain
178,Saint George,US,37.1041,-113.5841,88.43,19,0,4.61,clear sky
179,Galesong,ID,-5.3166,119.3661,75.22,83,74,10.07,broken clouds
180,Deputatsky,RU,69.3,139.9,26.1,89,100,5.03,overcast clouds
181,Seoul,KR,37.5683,126.9778,62.04,64,0,2.28,clear sky
182,Tomatlán,MX,19.9333,-105.25,77.7,88,87,4.14,overcast clouds
183,Te Anau,NZ,-45.4167,167.7167,46.45,94,100,3.42,light rain
184,Murchison,NZ,-41.8,172.3333,44.53,94,95,1.79,light rain
185,Arraial do Cabo,BR,-22.9661,-42.0278,71.46,64,0,17.27,clear sky
186,Leningradskiy,RU,69.3833,178.4167,31.93,93,99,18.5,overcast clouds
187,Fray Bentos,UY,-33.1325,-58.2956,68.77,63,100,10.76,overcast clouds
188,Nouadhibou,MR,20.931,-17.0347,74.37,80,0,22.21,clear sky
189,Pāsighāt,IN,28.0667,95.3333,77.43,91,38,3.8,scattered clouds
190,Isangel,VU,-19.55,169.2667,75.52,85,28,10.4,scattered clouds
191,Koungou,YT,-12.7336,45.2042,74.91,83,0,3.44,clear sky
192,Quatre Cocos,MU,-20.2078,57.7625,71.1,75,3,12.97,clear sky
193,Taltal,CL,-25.4,-70.4833,59.85,68,22,7.38,few clouds
194,Geraldton,AU,-28.7667,114.6,55.81,76,75,4.61,broken clouds
195,Ngunguru,NZ,-35.6167,174.5,58.39,95,100,6.08,overcast clouds
196,Miles City,US,46.4083,-105.8406,81.57,32,0,10.36,clear sky
197,Muisne,EC,0.6,-80.0333,78.39,75,96,10.58,overcast clouds
198,Upernavik,GL,72.7868,-56.1549,32.43,94,100,4.12,light snow
199,Hambantota,LK,6.1241,81.1185,77.34,100,20,1.14,few clouds
200,Tilichiki,RU,60.4667,166.1,33.35,74,0,2.91,clear sky
201,Port-Gentil,GA,-0.7193,8.7815,78.76,78,40,13.8,scattered clouds
202,Hithadhoo,MV,-0.6,73.0833,82.09,74,100,8.16,overcast clouds
203,Faanui,PF,-16.4833,-151.75,77.85,73,6,15.14,light rain
204,Pevek,RU,69.7008,170.3133,31.96,82,100,4.76,overcast clouds
205,Appleton,US,44.2619,-88.4154,78.89,58,0,5.99,clear sky
206,Berlevåg,NO,70.8578,29.0864,44.55,87,75,21.85,broken clouds
207,Baft,IR,29.234,56.6057,62.24,46,80,3.36,broken clouds
208,Flinders,AU,-34.5833,150.8552,48.25,76,5,4.0,clear sky
209,Ust'-Ilimsk,RU,58.0006,102.6619,46.18,94,100,10.2,light rain
210,Sahuaripa,MX,29.05,-109.2333,91.36,46,23,3.8,few clouds
211,Gouyave,GD,12.1646,-61.7296,84.97,79,40,20.71,scattered clouds
212,Kiama,AU,-34.6833,150.8667,48.45,76,10,3.74,clear sky
213,Broome,US,42.2506,-75.833,69.6,84,100,10.36,moderate rain
214,Visby,SE,57.6409,18.296,53.82,76,75,14.97,broken clouds
215,Kahului,US,20.8947,-156.47,82.42,74,40,20.71,scattered clouds
216,San Lorenzo,PY,-25.3333,-57.5333,70.74,78,75,6.91,broken clouds
217,Saldanha,ZA,-33.0117,17.9442,56.32,88,0,11.03,clear sky
218,São Miguel do Araguaia,BR,-13.275,-50.1628,96.94,25,57,6.4,broken clouds
219,Mahébourg,MU,-20.4081,57.7,71.26,74,2,13.24,clear sky
220,Mar del Plata,AR,-38.0023,-57.5575,56.08,94,100,11.01,overcast clouds
221,Longyearbyen,SJ,78.2186,15.6401,30.04,64,75,6.91,broken clouds
222,San Jose,US,37.3394,-121.895,74.89,67,40,8.05,scattered clouds
